id;camera_name;price;megapixel;max_resolution_width;max_resolution_length;sensor_size;min_iso;max_iso;min_shutter_speed;max_shutter_speed;continues_drive;max_video_resolution_width;max_video_resolution_length;max_video_fps;battery_life;articulated_lcd;usage;camera_type;screen_dots;weight;image_url
1;Fujifilm X-M5;Rp15,499,000.00;26,1;6240;4160;APS-C;160;12800;30;  1/4000 ;8;6240;4160;240;440;Fully Articulated;traveling;Mirrorless;1,040,000;355;https://dummyimage.com/400x300/2aa072/ffffff&text=Fujifilm+X-M5
2;Sony ZV-E10 II;Rp18,999,000.00;26;6192;4128;APS-C;100;32000;30;  1/8000 ;11;3840;2160;120;610;Fully Articulated;vlogging;Pocket;1,036,800;377;https://dummyimage.com/400x300/89e4fe/ffffff&text=Sony+ZV-E10+II
3;Ricoh GR III HDF;Rp19,599,000.00;24;6000;4000;APS-C;100;102400;30;  1/4000 ;4;1920;1080;60;200;Fixed;profesional;Mirrorless;1,037,000;257;https://dummyimage.com/400x300/31e42a/ffffff&text=Ricoh+GR+III+HDF
4;Ricoh GR IIIx HDF;Rp20,989,000.00;24;6000;4000;APS-C;100;102400;30;  1/4000 ;4;1920;1080;60;200;Fixed;traveling;Mirrorless;1,037,000;262;https://dummyimage.com/400x300/f1d761/ffffff&text=Ricoh+GR+IIIx+HDF
5;Sony a6700;Rp22,999,000.00;26;6192;4128;APS-C;100;32000;30;  1/4000 ;11;3840;2160;120;570;Fully Articulated;traveling;Mirrorless;1,036,800;493;https://dummyimage.com/400x300/ae5e60/ffffff&text=Sony+a6700
6;Fujifilm X-S20;Rp22,999,000.00;26,1;6240;4160;APS-C;160;12800;900;  1/4000 ;20;4096;2160;240;750;Fully Articulated;traveling;Mirrorless;1,840,000;491;https://dummyimage.com/400x300/f46d56/ffffff&text=Fujifilm+X-S20
7;Canon EOS R100;Rp7,999,000.00;24,1;6000;4000;APS-C;100;12800;30;  1/4000 ;65;3840;2160;120;340;Fixed;traveling;Mirrorless;1,040,000;356;https://dummyimage.com/400x300/6aafac/ffffff&text=Canon+EOS+R100
8;Sony ZV-1 Mark II;Rp13,999,000.00;20;5472;3648;"1""";125;12800; 1/4;  1/32000;24;3840;2160;120;290;Fully Articulated;traveling;Mirrorless;921,600;292;https://dummyimage.com/400x300/8095e4/ffffff&text=Sony+ZV-1+Mark+II
9;Canon PowerShot V10;Rp8,499,000.00;15,2;5472;3648;"1""";125;12800;1;  1/2000 ;1;3840;2160;60;290;Tilting;traveling;Mirrorless;460,000;211;https://dummyimage.com/400x300/87a03a/ffffff&text=Canon+PowerShot+V10
10;Canon EOS R50;Rp11,999,000.00;24,2;6000;4000;APS-C;100;32000;30;  1/4000 ;12;3840;2160;120;440;Fully Articulated;traveling;Mirrorless;1,620,000;375;https://dummyimage.com/400x300/d83dd6/ffffff&text=Canon+EOS+R50
